Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
Indyandie,2,https://github.com/Indyandie,User,False,4901,0,0,0,30,4,3,False
zzamboni,2,https://github.com/zzamboni,User,False,5947,0,0,0,30,207,27,False
Flygrounder,2,https://github.com/Flygrounder,User,False,3370,0,0,0,2,13,0,False
MunifTanjim,2,https://github.com/MunifTanjim,User,False,3882,30,30,30,30,519,40,False
mika-fischer,2,https://github.com/mika-fischer,User,False,5249,30,30,30,30,19,79,False
miguelfito,2,https://github.com/miguelfito,User,False,4983,30,30,5,9,7,5,False
Micck,2,https://github.com/Micck,User,False,1359,0,0,0,0,0,0,False
mdonoughe,2,https://github.com/mdonoughe,User,False,6053,30,30,30,30,27,3,False
MatejKastak,2,https://github.com/MatejKastak,User,False,2895,30,30,30,30,14,9,False
MaT1g3R,2,https://github.com/MaT1g3R,User,False,3404,30,30,30,30,48,13,False
LinusU,2,https://github.com/LinusU,User,False,5501,30,30,30,30,972,9,False
abekoh,2,https://github.com/abekoh,User,False,3130,30,30,30,30,26,17,False
klane,2,https://github.com/klane,User,False,4259,30,30,30,30,21,186,False
keawade,2,https://github.com/keawade,User,False,3960,30,30,30,30,21,0,False
jimleroyer,2,https://github.com/jimleroyer,User,False,5018,30,30,30,30,19,3,True
jawang35,2,https://github.com/jawang35,User,False,4114,30,30,13,25,9,11,False
InNoobWeTrust,2,https://github.com/InNoobWeTrust,User,False,3017,30,30,2,30,18,12,False
izissise,2,https://github.com/izissise,User,False,4577,30,30,30,30,67,15,False
Hofer-Julian,2,https://github.com/Hofer-Julian,User,False,2778,30,30,30,30,90,1,False
IslandUsurper,1,https://github.com/IslandUsurper,User,False,6054,30,30,30,30,16,0,False
luismgsantos,1,https://github.com/luismgsantos,User,False,3525,11,11,2,10,17,0,False
Lyndeno,1,https://github.com/Lyndeno,User,False,3495,30,30,30,30,11,37,False
tchajed,1,https://github.com/tchajed,User,False,4816,30,30,30,30,314,24,False
LukeAI,1,https://github.com/LukeAI,User,False,2322,28,12,30,28,10,0,False
ananas-dev,1,https://github.com/ananas-dev,User,False,2226,30,28,2,30,10,4,False
rpl,1,https://github.com/rpl,User,False,6110,30,30,30,30,220,86,False
lucperkins,1,https://github.com/lucperkins,User,False,4726,30,30,30,30,473,1309,False
yamabiiko,1,https://github.com/yamabiiko,User,False,2765,14,10,7,18,4,1,False
wangl-cc,1,https://github.com/wangl-cc,User,False,2443,30,30,30,27,23,35,False
lberrymage,1,https://github.com/lberrymage,User,False,2236,30,30,30,13,61,3,False
liangyungong,1,https://github.com/liangyungong,User,False,3226,2,1,4,8,6,0,False
NoraCodes,1,https://github.com/NoraCodes,User,False,4414,30,30,30,30,562,440,False
LionC,1,https://github.com/LionC,User,False,4401,30,30,30,30,31,592,False
kylesferrazza,1,https://github.com/kylesferrazza,User,False,4021,30,30,30,19,83,3,False
mdtro,1,https://github.com/mdtro,User,False,3162,30,30,30,29,20,0,False
gunslingerfry,1,https://github.com/gunslingerfry,User,False,4254,8,6,30,6,4,2,False
KingMob,1,https://github.com/KingMob,User,False,4951,30,30,30,30,63,21,False
xeho91,1,https://github.com/xeho91,User,False,3221,30,30,30,30,38,36,False
matoous,1,https://github.com/matoous,User,False,3387,30,30,30,30,77,1442,False
mrjones2014,1,https://github.com/mrjones2014,User,False,3819,30,30,30,30,116,409,False
geeknees,1,https://github.com/geeknees,User,False,5071,30,30,30,30,81,5,False
mmng-a,1,https://github.com/mmng-a,User,False,2793,30,30,24,29,23,50,False
c0rner,1,https://github.com/c0rner,User,False,4503,11,9,9,16,5,2,False
cmdaltent,1,https://github.com/cmdaltent,User,False,4502,12,12,2,15,6,5,False
mslot,1,https://github.com/mslot,User,False,5159,30,30,14,30,8,3,False
cf-martin,1,https://github.com/cf-martin,User,False,304,0,0,0,0,0,0,False
RivenSkaye,1,https://github.com/RivenSkaye,User,False,3421,30,30,30,30,21,13,False
marlonrichert,1,https://github.com/marlonrichert,User,False,5101,30,30,30,26,197,7590,False
MarioAriasC,1,https://github.com/MarioAriasC,User,False,4342,30,30,16,30,149,933,False
NyCodeGHG,1,https://github.com/NyCodeGHG,User,False,2540,30,30,30,30,128,14,False
tranzystorekk,1,https://github.com/tranzystorekk,User,False,4145,30,30,30,30,77,23,False
YoshidaRyoko,1,https://github.com/YoshidaRyoko,User,False,643,5,4,1,3,3,0,False
mthmulders,1,https://github.com/mthmulders,User,False,5247,30,30,30,30,82,43,False
kohenkatz,1,https://github.com/kohenkatz,User,False,5745,30,30,30,30,36,5,False
justaskz,1,https://github.com/justaskz,User,False,3636,30,30,24,14,4,0,False
juliangehring,1,https://github.com/juliangehring,User,False,5364,30,30,30,30,68,190,False
jjant,1,https://github.com/jjant,User,False,3414,30,30,30,30,40,9,False
heyajulia,1,https://github.com/heyajulia,User,False,1670,18,17,30,30,21,9,False
TitanNano,1,https://github.com/TitanNano,User,False,4288,30,30,30,30,46,23,False
JohnFinn,1,https://github.com/JohnFinn,User,False,3053,20,11,23,30,1,2,False
jsnider-mtu,1,https://github.com/jsnider-mtu,User,False,3188,30,30,25,20,0,0,False
jpoehls,1,https://github.com/jpoehls,User,False,5792,25,22,30,30,37,87,False
CLIDragon,1,https://github.com/CLIDragon,User,False,1372,23,15,9,5,0,0,False
jonknapp,1,https://github.com/jonknapp,User,False,3803,30,30,30,17,27,5,False
jonathf,1,https://github.com/jonathf,User,False,4855,30,30,30,30,87,673,False
jonathanbcarlson,1,https://github.com/jonathanbcarlson,User,False,1726,30,30,13,18,3,1,False
jslow421,1,https://github.com/jslow421,User,False,3457,17,16,30,30,8,0,False
hooksie1,1,https://github.com/hooksie1,User,False,3303,30,30,21,30,9,15,False
jvbreen1,1,https://github.com/jvbreen1,User,False,4218,27,23,0,8,16,0,False
j-m-hoffmann,1,https://github.com/j-m-hoffmann,User,False,2859,30,15,16,30,4,36,False
JettChenT,1,https://github.com/JettChenT,User,False,2256,30,30,19,30,100,23,False
cg-jl,1,https://github.com/cg-jl,User,False,1999,30,30,30,30,56,37,False
jeremyschlatter,1,https://github.com/jeremyschlatter,User,False,4136,30,30,30,30,107,35,False
Jervx,1,https://github.com/Jervx,User,False,2171,30,30,27,17,19,2,False
cdenyar,1,https://github.com/cdenyar,User,False,4023,17,15,16,11,3,0,False
BatmanAoD,1,https://github.com/BatmanAoD,User,False,4543,30,30,30,30,53,3,False
ky-bean,1,https://github.com/ky-bean,User,False,432,4,4,6,6,0,0,False
mr-oliva,1,https://github.com/mr-oliva,User,False,3701,30,30,7,30,3,7,False
jakubclark,1,https://github.com/jakubclark,User,False,3194,28,19,6,30,5,7,False
Konrad-pl,1,https://github.com/Konrad-pl,User,False,3422,5,4,0,13,1,0,False
ickc,1,https://github.com/ickc,User,False,3657,30,30,30,30,26,21,False
KokaKiwi,1,https://github.com/KokaKiwi,User,False,5511,30,30,30,30,191,29,False
kichristensen,1,https://github.com/kichristensen,User,False,4521,30,30,26,30,9,1,False
kianmeng,1,https://github.com/kianmeng,User,False,5615,30,30,30,30,133,0,False
kppullin,1,https://github.com/kppullin,User,False,5295,30,30,16,30,28,4,False
pnotequalnp,1,https://github.com/pnotequalnp,User,False,2244,13,11,22,4,15,23,False
nirvdrum,1,https://github.com/nirvdrum,User,False,6101,30,30,30,30,226,25,False
kboshold,1,https://github.com/kboshold,User,False,3240,29,26,30,12,17,22,False
kesyog,1,https://github.com/kesyog,User,False,3660,30,30,30,30,14,77,False
kemingy,1,https://github.com/kemingy,User,False,3529,30,30,30,30,183,43,False
kudlatyamroth,1,https://github.com/kudlatyamroth,User,False,4567,30,30,30,28,4,9,False
kkovaacs,1,https://github.com/kkovaacs,User,False,5109,30,30,30,30,27,1,False
jugmac00,1,https://github.com/jugmac00,User,False,3739,30,30,30,30,90,78,False
Mic92,1,https://github.com/Mic92,User,False,5723,30,30,30,30,1035,42,False
jaudiger,1,https://github.com/jaudiger,User,False,2722,30,30,30,4,0,0,False
BRAVO68WEB,1,https://github.com/BRAVO68WEB,User,False,2404,30,30,30,30,253,14,False
foriequal0,1,https://github.com/foriequal0,User,False,4172,30,30,30,30,76,568,False
scott-parkhill,1,https://github.com/scott-parkhill,User,False,2162,30,30,30,9,3,1,False
SarthakSingh31,1,https://github.com/SarthakSingh31,User,False,2581,30,30,17,30,10,42,False
esposm03,1,https://github.com/esposm03,User,False,2568,24,18,19,7,24,6,False
SamirTalwar,1,https://github.com/SamirTalwar,User,False,5872,30,30,30,30,205,79,False
skvale,1,https://github.com/skvale,User,False,4192,30,30,30,13,25,25,False
