login,contributions,url,type,site_admin,account_age_(days),total_prs_submitted,total_prs_merged,total_issues_opened,total_repositories_contributed_to,followers,stars_received,is_member_of_organization,source_project,approval_rate,contributor_seniority
aqandrew,2,https://github.com/aqandrew,User,False,3786.0,0.0,0.0,0,30,30,50,False,excalidraw,0.0,10.37
rothardo,2,https://github.com/rothardo,User,False,1393.0,0.0,0.0,0,25,8,2,False,excalidraw,0.0,3.82
carlsverre,2,https://github.com/carlsverre,User,False,5763.0,0.0,0.0,0,30,178,49,False,excalidraw,0.0,15.79
cyan33,2,https://github.com/cyan33,User,False,3509.0,0.0,0.0,0,30,494,146,False,excalidraw,0.0,9.61
clarencechaan,2,https://github.com/clarencechaan,User,False,1656.0,0.0,0.0,0,30,19,3,False,excalidraw,0.0,4.54
alsuren,2,https://github.com/alsuren,User,False,5409.0,0.0,30.0,30,30,63,1,False,excalidraw,0.0,14.82
OrenMe,2,https://github.com/OrenMe,User,False,4173.0,30.0,30.0,30,16,15,0,False,excalidraw,1.0,11.43
nschnierer,2,https://github.com/nschnierer,User,False,4361.0,30.0,30.0,30,7,18,5,False,excalidraw,1.0,11.95
azz,2,https://github.com/azz,User,False,4795.0,30.0,30.0,30,30,366,34,False,excalidraw,1.0,13.14
keyz,2,https://github.com/keyz,User,False,4550.0,30.0,30.0,22,30,777,47,False,excalidraw,1.0,12.47
jaredpalmer,2,https://github.com/jaredpalmer,User,False,4336.0,30.0,30.0,30,30,9696,10908,False,excalidraw,1.0,11.88
JakubKoralewski,2,https://github.com/JakubKoralewski,User,False,2355.0,30.0,30.0,30,30,32,21,False,excalidraw,1.0,6.45
jai-dewani,2,https://github.com/jai-dewani,User,False,2657.0,30.0,30.0,30,30,217,12,False,excalidraw,1.0,7.28
fernandoalava,2,https://github.com/fernandoalava,User,False,4015.0,25.0,18.0,2,30,7,0,False,excalidraw,0.72,11.0
FarooqAR,2,https://github.com/FarooqAR,User,False,3891.0,30.0,30.0,30,30,44,3,False,excalidraw,1.0,10.66
edbentley,2,https://github.com/edbentley,User,False,3378.0,30.0,0.0,0,21,21,385,False,excalidraw,0.0,9.25
therealrinku,1,https://github.com/therealrinku,User,False,1506.0,0.0,0.0,0,25,11,45,False,excalidraw,0.0,4.13
robertvanhoesel,1,https://github.com/robertvanhoesel,User,False,4024.0,0.0,0.0,0,13,31,0,False,excalidraw,0.0,11.02
nosnibor89,1,https://github.com/nosnibor89,User,False,3440.0,0.0,0.0,0,30,10,4,False,excalidraw,0.0,9.42
irounik,1,https://github.com/irounik,User,False,1948.0,0.0,0.0,0,30,27,0,False,excalidraw,0.0,5.34
SahilNagpure07,1,https://github.com/SahilNagpure07,User,False,1511.0,0.0,0.0,0,26,0,0,False,excalidraw,0.0,4.14
mxstbr,1,https://github.com/mxstbr,User,False,3937.0,0.0,0.0,0,30,6947,133,False,excalidraw,0.0,10.79
Git21221,1,https://github.com/Git21221,User,False,1080.0,30.0,30.0,30,30,16,73,False,excalidraw,1.0,2.96
sakit0,1,https://github.com/sakit0,User,False,3421.0,30.0,30.0,22,30,92,7,False,excalidraw,1.0,9.37
dacitto,1,https://github.com/dacitto,User,False,3013.0,12.0,7.0,3,30,32,12,False,excalidraw,0.5833333333333334,8.25
FadedBronze,1,https://github.com/FadedBronze,User,False,974.0,15.0,13.0,2,30,2,1,False,excalidraw,0.8666666666666667,2.67
Simonboeuf1,1,https://github.com/Simonboeuf1,User,False,2275.0,3.0,3.0,2,10,4,0,False,excalidraw,1.0,6.23
mesaugat,1,https://github.com/mesaugat,User,False,4317.0,30.0,30.0,30,30,236,795,False,excalidraw,1.0,11.83
sbalay,1,https://github.com/sbalay,User,False,4609.0,30.0,30.0,30,30,40,2,False,excalidraw,1.0,12.63
chicoxyzzy,1,https://github.com/chicoxyzzy,User,False,4731.0,30.0,30.0,30,30,970,34,False,excalidraw,1.0,12.96
theezeb,1,https://github.com/theezeb,User,False,2083.0,10.0,5.0,25,27,4,0,False,excalidraw,0.5,5.71
sha-linimoorthy,1,https://github.com/sha-linimoorthy,User,False,951.0,11.0,4.0,7,30,3,12,False,excalidraw,0.36363636363636365,2.61
shaneosullivan,1,https://github.com/shaneosullivan,User,False,5865.0,0.0,0.0,0,30,125,87,False,excalidraw,0.0,16.07
shreyjay0,1,https://github.com/shreyjay0,User,False,2389.0,0.0,0.0,0,30,5,2,False,excalidraw,0.0,6.55
caleboleary,1,https://github.com/caleboleary,User,False,3540.0,0.0,0.0,0,30,23,75,False,excalidraw,0.0,9.7
s-rd,1,https://github.com/s-rd,User,False,3288.0,0.0,0.0,0,25,55,6,False,excalidraw,0.0,9.01
mtlewis,1,https://github.com/mtlewis,User,False,5161.0,0.0,0.0,0,30,32,1,False,excalidraw,0.0,14.14
salehmdev,1,https://github.com/salehmdev,User,False,2684.0,0.0,0.0,0,13,3,1,False,excalidraw,0.0,7.35
mohammadamin16,1,https://github.com/mohammadamin16,User,False,2579.0,0.0,0.0,0,30,15,11,False,excalidraw,0.0,7.07
mritunjayz,1,https://github.com/mritunjayz,User,False,3065.0,0.0,0.0,0,30,54,1,False,excalidraw,0.0,8.4
Nainterceptor,1,https://github.com/Nainterceptor,User,False,4735.0,30.0,30.0,30,30,36,3,False,excalidraw,1.0,12.97
mikemybytes,1,https://github.com/mikemybytes,User,False,3791.0,11.0,11.0,20,20,49,136,False,excalidraw,1.0,10.39
NickFitton,1,https://github.com/NickFitton,User,False,3789.0,30.0,30.0,30,30,15,1,False,excalidraw,1.0,10.38
MehediH,1,https://github.com/MehediH,User,False,3709.0,30.0,30.0,30,29,331,1337,False,excalidraw,1.0,10.16
oliverbenns,1,https://github.com/oliverbenns,User,False,4597.0,28.0,22.0,30,30,39,260,False,excalidraw,0.7857142857142857,12.59
Brikaa,1,https://github.com/Brikaa,User,False,2434.0,30.0,30.0,30,30,79,12,False,excalidraw,1.0,6.67
Patrik-Lundqvist,1,https://github.com/Patrik-Lundqvist,User,False,4205.0,30.0,30.0,30,6,14,3,False,excalidraw,1.0,11.52
ptuls,1,https://github.com/ptuls,User,False,4597.0,16.0,14.0,4,29,28,123,False,excalidraw,0.875,12.59
paul-s-yi,1,https://github.com/paul-s-yi,User,False,1321.0,13.0,12.0,0,9,55,2,False,excalidraw,0.9230769230769231,3.62
pedropb,1,https://github.com/pedropb,User,False,3405.0,30.0,26.0,9,30,10,5,False,excalidraw,0.8666666666666667,9.33
Pierre-Monier,1,https://github.com/Pierre-Monier,User,False,1737.0,0.0,0.0,0,30,16,33,False,excalidraw,0.0,4.76
pimotte,1,https://github.com/pimotte,User,False,4115.0,0.0,0.0,0,30,24,10,False,excalidraw,0.0,11.27
Pompette,1,https://github.com/Pompette,User,False,3925.0,0.0,0.0,0,16,6,1,False,excalidraw,0.0,10.75
agarwalprashant,1,https://github.com/agarwalprashant,User,False,3862.0,0.0,0.0,0,30,7,1,False,excalidraw,0.0,10.58
PritamSangani,1,https://github.com/PritamSangani,User,False,3046.0,0.0,0.0,0,10,11,2,False,excalidraw,0.0,8.35
rahul3v,1,https://github.com/rahul3v,User,False,2996.0,0.0,0.0,0,30,6,1,False,excalidraw,0.0,8.21
Rajni2002,1,https://github.com/Rajni2002,User,False,1402.0,0.0,0.0,0,30,19,16,False,excalidraw,0.0,3.84
richkeenan,1,https://github.com/richkeenan,User,False,4875.0,20.0,19.0,25,17,11,8,False,excalidraw,0.95,13.36
rileyschnee,1,https://github.com/rileyschnee,User,False,3082.0,20.0,19.0,2,19,16,1,False,excalidraw,0.95,8.44
subhadeep-sengupta,1,https://github.com/subhadeep-sengupta,User,False,1228.0,1.0,1.0,0,10,3,0,False,excalidraw,1.0,3.36
anumithaapollo12,1,https://github.com/anumithaapollo12,User,False,2500.0,2.0,2.0,0,6,6,0,False,excalidraw,1.0,6.85
b1sar,1,https://github.com/b1sar,User,False,3130.0,10.0,8.0,3,12,15,1,False,excalidraw,0.8,8.58
liuzhuan,1,https://github.com/liuzhuan,User,False,4324.0,7.0,4.0,30,30,32,15,False,excalidraw,0.5714285714285714,11.85
YinDongFang,1,https://github.com/YinDongFang,User,False,3357.0,30.0,23.0,16,30,20,4,False,excalidraw,0.7666666666666667,9.2
fennghuang,1,https://github.com/fennghuang,User,False,1281.0,30.0,30.0,2,24,0,1,False,excalidraw,1.0,3.51
halocean96,1,https://github.com/halocean96,User,False,510.0,5.0,5.0,2,11,1,0,False,excalidraw,1.0,1.4
hiharish-sh,1,https://github.com/hiharish-sh,User,False,2570.0,19.0,13.0,0,24,3,0,False,excalidraw,0.6842105263157895,7.04
hugo082,1,https://github.com/hugo082,User,False,3578.0,0.0,0.0,0,24,14,0,False,excalidraw,0.0,9.8
jasonphillips,1,https://github.com/jasonphillips,User,False,4145.0,0.0,0.0,0,30,20,105,False,excalidraw,0.0,11.36
monkeywithacupcake,1,https://github.com/monkeywithacupcake,User,False,3959.0,0.0,0.0,0,30,143,4,False,excalidraw,0.0,10.85
johnd99,1,https://github.com/johnd99,User,False,1318.0,0.0,0.0,0,7,0,1,False,excalidraw,0.0,3.61
Login,Contributions,URL,Type,Site Admin,,,,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization,excalidraw,0.0,0.0
lipis,284,https://github.com/lipis,User,False,5638.0,0.0,0.0,0,30,1572,5047,True,excalidraw,0.0,15.45
giovannigiordano,47,https://github.com/giovannigiordano,User,False,3412.0,30.0,30.0,22,26,18,2,False,excalidraw,1.0,9.35
Fausto95,46,https://github.com/Fausto95,User,False,3024.0,30.0,30.0,30,30,111,141,True,excalidraw,1.0,8.28
ryan-di,45,https://github.com/ryan-di,User,False,2206.0,30.0,30.0,10,6,23,0,True,excalidraw,1.0,6.04
nanot1m,35,https://github.com/nanot1m,User,False,3776.0,30.0,30.0,30,30,59,15,False,excalidraw,1.0,10.35
mtolmacs,34,https://github.com/mtolmacs,User,False,3427.0,30.0,30.0,26,23,10,35,False,excalidraw,1.0,9.39
pshihn,11,https://github.com/pshihn,User,False,5004.0,0.0,0.0,0,30,644,380,False,excalidraw,0.0,13.71
yongdamsh,11,https://github.com/yongdamsh,User,False,4330.0,0.0,0.0,0,11,27,0,False,excalidraw,0.0,11.86
lusingander,11,https://github.com/lusingander,User,False,2731.0,0.0,0.0,0,30,58,310,False,excalidraw,0.0,7.48
KentBeck,10,https://github.com/KentBeck,User,False,5879.0,12.0,12.0,0,23,2784,370,False,excalidraw,1.0,16.11
muzakparov,9,https://github.com/muzakparov,User,False,2876.0,30.0,28.0,4,30,366,6,False,excalidraw,0.9333333333333333,7.88
lissitz,9,https://github.com/lissitz,User,False,2033.0,11.0,10.0,15,9,4,6,False,excalidraw,0.9090909090909091,5.57
bradymadden97,9,https://github.com/bradymadden97,User,False,3306.0,30.0,30.0,30,30,11,68,False,excalidraw,1.0,9.06
alex-kim-dev,8,https://github.com/alex-kim-dev,User,False,2268.0,30.0,30.0,30,30,7,9,False,excalidraw,1.0,6.21
Jnforja,8,https://github.com/Jnforja,User,False,3987.0,11.0,10.0,6,14,22,3,False,excalidraw,0.9090909090909091,10.92
are,7,https://github.com/are,User,False,4363.0,0.0,0.0,0,30,14,8,False,excalidraw,0.0,11.95
warrenseine,6,https://github.com/warrenseine,User,False,5164.0,0.0,0.0,0,30,60,46,False,excalidraw,0.0,14.15
jsjoeio,5,https://github.com/jsjoeio,User,False,4364.0,0.0,0.0,0,30,1030,64,False,excalidraw,0.0,11.96
gmertk,5,https://github.com/gmertk,User,False,4970.0,0.0,0.0,0,30,163,2797,False,excalidraw,0.0,13.62
jquintozamora,5,https://github.com/jquintozamora,User,False,3561.0,0.0,0.0,0,27,164,278,False,excalidraw,0.0,9.76
adarkforce,4,https://github.com/adarkforce,User,False,2111.0,0.0,0.0,0,25,10,60,False,excalidraw,0.0,5.78
connor-pph,4,https://github.com/connor-pph,User,False,2531.0,9.0,5.0,1,2,3,0,False,excalidraw,0.5555555555555556,6.93
johtso,3,https://github.com/johtso,User,False,5006.0,30.0,30.0,30,30,23,22,False,excalidraw,1.0,13.72
jdbruxelles,3,https://github.com/jdbruxelles,User,False,3225.0,30.0,22.0,30,10,27,3,False,excalidraw,0.7333333333333333,8.84
msal4,3,https://github.com/msal4,User,False,2778.0,30.0,30.0,30,30,51,20,False,excalidraw,1.0,7.61
sosukesuzuki,3,https://github.com/sosukesuzuki,User,False,3433.0,30.0,30.0,30,30,556,9,False,excalidraw,1.0,9.41
jillesme,3,https://github.com/jillesme,User,False,4458.0,0.0,0.0,0,30,81,43,False,excalidraw,0.0,12.21
CompuIves,3,https://github.com/CompuIves,User,False,5134.0,0.0,0.0,0,30,2591,80,False,excalidraw,0.0,14.07
HerbCaudill,3,https://github.com/HerbCaudill,User,False,4572.0,0.0,0.0,0,30,97,57,False,excalidraw,0.0,12.53
hamirmahal,3,https://github.com/hamirmahal,User,False,2342.0,0.0,0.0,0,30,39,2,False,excalidraw,0.0,6.42
ggrossetie,3,https://github.com/ggrossetie,User,False,5330.0,0.0,30.0,30,30,232,168,False,excalidraw,0.0,14.6
tom-sherman,2,https://github.com/tom-sherman,User,False,3777.0,30.0,30.0,30,30,132,54,False,excalidraw,1.0,10.35
thibautsabot,2,https://github.com/thibautsabot,User,False,3776.0,30.0,30.0,8,30,38,64,False,excalidraw,1.0,10.35
ThangHuuVu,2,https://github.com/ThangHuuVu,User,False,2726.0,30.0,30.0,30,30,282,30,False,excalidraw,1.0,7.47
vsaravind01,2,https://github.com/vsaravind01,User,False,1783.0,30.0,30.0,1,30,12,5,False,excalidraw,1.0,4.88
SH5H,2,https://github.com/SH5H,User,False,2939.0,30.0,0.0,0,12,14,12,False,excalidraw,0.0,8.05
rubjo,2,https://github.com/rubjo,User,False,2383.0,0.0,0.0,0,30,97,7,False,excalidraw,0.0,6.53
mx2s,2,https://github.com/mx2s,User,False,3091.0,0.0,0.0,0,30,43,9,False,excalidraw,0.0,8.47
wuweiweiwu,2,https://github.com/wuweiweiwu,User,False,2595.0,0.0,0.0,0,30,187,17,False,excalidraw,0.0,7.11
lucleray,2,https://github.com/lucleray,User,False,4027.0,0.0,0.0,0,30,478,400,False,excalidraw,0.0,11.03
Nishant-l,2,https://github.com/Nishant-l,User,False,1827.0,0.0,0.0,0,27,4,25,False,excalidraw,0.0,5.01
mabdullahadeel,2,https://github.com/mabdullahadeel,User,False,1759.0,30.0,30.0,30,30,45,130,False,excalidraw,1.0,4.82
abhikulshrestha22,2,https://github.com/abhikulshrestha22,User,False,3762.0,4.0,4.0,3,30,3,7,False,excalidraw,1.0,10.31
adilhaddaoui,2,https://github.com/adilhaddaoui,User,False,4186.0,4.0,3.0,5,7,18,3,False,excalidraw,0.75,11.47
Mingaaaaaaa,2,https://github.com/Mingaaaaaaa,User,False,1161.0,3.0,3.0,4,11,6,0,False,excalidraw,1.0,3.18
aqandrew,2,https://github.com/aqandrew,User,False,3786.0,30.0,30.0,30,30,30,50,False,excalidraw,1.0,10.37
rothardo,2,https://github.com/rothardo,User,False,1393.0,7.0,5.0,0,25,8,2,False,excalidraw,0.7142857142857143,3.82
alsuren,2,https://github.com/alsuren,User,False,5409.0,0.0,0.0,0,30,63,1,False,excalidraw,0.0,14.82
OrenMe,2,https://github.com/OrenMe,User,False,4173.0,0.0,0.0,0,16,15,0,False,excalidraw,0.0,11.43
nschnierer,2,https://github.com/nschnierer,User,False,4361.0,0.0,0.0,0,7,18,5,False,excalidraw,0.0,11.95
azz,2,https://github.com/azz,User,False,4795.0,0.0,0.0,0,30,366,34,False,excalidraw,0.0,13.14
keyz,2,https://github.com/keyz,User,False,4550.0,0.0,0.0,0,30,777,47,False,excalidraw,0.0,12.47
jaredpalmer,2,https://github.com/jaredpalmer,User,False,4337.0,0.0,0.0,0,30,9697,10908,False,excalidraw,0.0,11.88
JakubKoralewski,2,https://github.com/JakubKoralewski,User,False,2355.0,0.0,0.0,0,30,32,21,False,excalidraw,0.0,6.45
jai-dewani,2,https://github.com/jai-dewani,User,False,2657.0,0.0,0.0,0,30,217,12,False,excalidraw,0.0,7.28
fernandoalava,2,https://github.com/fernandoalava,User,False,4015.0,0.0,0.0,0,30,7,0,False,excalidraw,0.0,11.0
edbentley,2,https://github.com/edbentley,User,False,3378.0,30.0,30.0,15,21,21,385,False,excalidraw,1.0,9.25
therealrinku,1,https://github.com/therealrinku,User,False,1506.0,30.0,30.0,16,25,11,45,False,excalidraw,1.0,4.13
robertvanhoesel,1,https://github.com/robertvanhoesel,User,False,4024.0,28.0,22.0,30,13,31,0,False,excalidraw,0.7857142857142857,11.02
nosnibor89,1,https://github.com/nosnibor89,User,False,3440.0,16.0,9.0,6,30,10,4,False,excalidraw,0.5625,9.42
irounik,1,https://github.com/irounik,User,False,1948.0,5.0,5.0,4,30,27,0,False,excalidraw,1.0,5.34
SahilNagpure07,1,https://github.com/SahilNagpure07,User,False,1511.0,21.0,14.0,1,26,0,0,False,excalidraw,0.6666666666666666,4.14
mxstbr,1,https://github.com/mxstbr,User,False,3937.0,30.0,30.0,30,30,6947,133,False,excalidraw,1.0,10.79
dacitto,1,https://github.com/dacitto,User,False,3013.0,0.0,0.0,0,30,32,12,False,excalidraw,0.0,8.25
FadedBronze,1,https://github.com/FadedBronze,User,False,974.0,0.0,0.0,0,30,2,1,False,excalidraw,0.0,2.67
Simonboeuf1,1,https://github.com/Simonboeuf1,User,False,2275.0,0.0,0.0,0,10,4,0,False,excalidraw,0.0,6.23
mesaugat,1,https://github.com/mesaugat,User,False,4317.0,0.0,0.0,0,30,236,795,False,excalidraw,0.0,11.83
sbalay,1,https://github.com/sbalay,User,False,4609.0,0.0,0.0,0,30,40,2,False,excalidraw,0.0,12.63
chicoxyzzy,1,https://github.com/chicoxyzzy,User,False,4731.0,0.0,0.0,0,30,970,34,False,excalidraw,0.0,12.96
theezeb,1,https://github.com/theezeb,User,False,2083.0,0.0,0.0,0,27,4,0,False,excalidraw,0.0,5.71
sha-linimoorthy,1,https://github.com/sha-linimoorthy,User,False,951.0,0.0,0.0,0,30,3,12,False,excalidraw,0.0,2.61
s-rd,1,https://github.com/s-rd,User,False,3288.0,16.0,14.0,10,25,55,6,False,excalidraw,0.875,9.01
mtlewis,1,https://github.com/mtlewis,User,False,5161.0,30.0,30.0,30,30,32,1,False,excalidraw,1.0,14.14
salehmdev,1,https://github.com/salehmdev,User,False,2684.0,12.0,10.0,4,13,3,1,False,excalidraw,0.8333333333333334,7.35
mohammadamin16,1,https://github.com/mohammadamin16,User,False,2579.0,10.0,8.0,1,30,15,11,False,excalidraw,0.8,7.07
mritunjayz,1,https://github.com/mritunjayz,User,False,3065.0,30.0,30.0,11,30,54,1,False,excalidraw,1.0,8.4
Brikaa,1,https://github.com/Brikaa,User,False,2434.0,0.0,0.0,0,30,79,12,False,excalidraw,0.0,6.67
Patrik-Lundqvist,1,https://github.com/Patrik-Lundqvist,User,False,4205.0,0.0,0.0,0,6,14,3,False,excalidraw,0.0,11.52
ptuls,1,https://github.com/ptuls,User,False,4597.0,0.0,0.0,0,29,28,123,False,excalidraw,0.0,12.59
paul-s-yi,1,https://github.com/paul-s-yi,User,False,1321.0,0.0,0.0,0,9,55,2,False,excalidraw,0.0,3.62
pedropb,1,https://github.com/pedropb,User,False,3405.0,0.0,0.0,0,30,10,5,False,excalidraw,0.0,9.33
rahul3v,1,https://github.com/rahul3v,User,False,2996.0,0.0,0.0,30,30,6,1,False,excalidraw,0.0,8.21
Rajni2002,1,https://github.com/Rajni2002,User,False,1402.0,30.0,30.0,3,30,19,16,False,excalidraw,1.0,3.84
halocean96,1,https://github.com/halocean96,User,False,510.0,5.0,5.0,0,11,1,0,False,excalidraw,1.0,1.4
hiharish-sh,1,https://github.com/hiharish-sh,User,False,2570.0,0.0,0.0,0,24,3,0,False,excalidraw,0.0,7.04
luzpaz,1,https://github.com/luzpaz,User,False,4328.0,0.0,0.0,0,30,232,1,False,excalidraw,0.0,11.86
maruric,1,https://github.com/maruric,User,False,3274.0,0.0,0.0,0,0,3,0,False,excalidraw,0.0,8.97
mazijian-pp,1,https://github.com/mazijian-pp,User,False,1649.0,0.0,0.0,0,13,1,5,False,excalidraw,0.0,4.52
rafaquelhodev,1,https://github.com/rafaquelhodev,User,False,2170.0,0.0,0.0,0,30,5,6,False,excalidraw,0.0,5.95
reymon359,1,https://github.com/reymon359,User,False,2713.0,0.0,0.0,0,30,106,62,False,excalidraw,0.0,7.43
rulikrulit,1,https://github.com/rulikrulit,User,False,4043.0,30.0,30.0,1,10,1,0,False,excalidraw,1.0,11.08
siddhant1,1,https://github.com/siddhant1,User,False,2759.0,30.0,30.0,30,30,58,13,False,excalidraw,1.0,7.56
spc-28,1,https://github.com/spc-28,User,False,584.0,11.0,8.0,9,15,0,0,False,excalidraw,0.7272727272727273,1.6
suwalkanishka,1,https://github.com/suwalkanishka,User,False,2974.0,1.0,1.0,1,4,5,0,False,excalidraw,1.0,8.15
tothatt81,1,https://github.com/tothatt81,User,False,2454.0,6.0,6.0,7,7,2,0,False,excalidraw,1.0,6.72
wasp77,1,https://github.com/wasp77,User,False,3060.0,2.0,2.0,0,30,0,0,False,excalidraw,1.0,8.38
wboucher,1,https://github.com/wboucher,User,False,4037.0,1.0,1.0,0,5,2,1,False,excalidraw,1.0,11.06
ismailnamdar,1,https://github.com/ismailnamdar,User,False,2734.0,18.0,18.0,1,25,32,49,False,excalidraw,1.0,7.49
2hanbyeol1,1,https://github.com/2hanbyeol1,User,False,1476.0,30.0,30.0,30,30,31,3,False,excalidraw,1.0,4.04
sunil-sharma-999,1,https://github.com/sunil-sharma-999,User,False,1362.0,15.0,10.0,30,30,4,0,False,excalidraw,0.6666666666666666,3.73
SvenKube,1,https://github.com/SvenKube,User,False,3870.0,0.0,0.0,0,16,10,5,False,excalidraw,0.0,10.6
gitkumi,1,https://github.com/gitkumi,User,False,4152.0,0.0,0.0,0,17,2,0,False,excalidraw,0.0,11.38
tempewda,1,https://github.com/tempewda,User,False,1279.0,0.0,0.0,0,30,41,4,False,excalidraw,0.0,3.5
tfarhan00,1,https://github.com/tfarhan00,User,False,952.0,0.0,0.0,0,8,7,0,False,excalidraw,0.0,2.61
tomdohnal,1,https://github.com/tomdohnal,User,False,3043.0,0.0,0.0,0,30,33,3,False,excalidraw,0.0,8.34
tomhicks,1,https://github.com/tomhicks,User,False,4380.0,0.0,0.0,0,30,50,21,False,excalidraw,0.0,12.0
tommilligan,1,https://github.com/tommilligan,User,False,3576.0,0.0,0.0,0,30,35,4,False,excalidraw,0.0,9.8
sulco,1,https://github.com/sulco,User,False,4730.0,0.0,0.0,0,30,190,1042,False,excalidraw,0.0,12.96
typehorror,1,https://github.com/typehorror,User,False,5838.0,0.0,0.0,0,30,21,49,False,excalidraw,0.0,15.99
valgussev,1,https://github.com/valgussev,User,False,2505.0,0.0,0.0,0,3,3,0,False,excalidraw,0.0,6.86
Vatsalsoni13,1,https://github.com/Vatsalsoni13,User,False,2027.0,30.0,30.0,3,29,28,4,False,excalidraw,1.0,5.55
inwardmovement,1,https://github.com/inwardmovement,User,False,3764.0,30.0,30.0,30,1,3,0,False,excalidraw,1.0,10.31
s1lverfish,1,https://github.com/s1lverfish,User,False,3200.0,4.0,2.0,3,20,2,0,False,excalidraw,0.5,8.77
vincentfretin,1,https://github.com/vincentfretin,User,False,5674.0,30.0,30.0,30,30,116,23,False,excalidraw,1.0,15.55
WBbug,1,https://github.com/WBbug,User,False,1306.0,30.0,30.0,11,20,7,1,False,excalidraw,1.0,3.58
WabweniBrian,1,https://github.com/WabweniBrian,User,False,865.0,12.0,8.0,0,30,17,30,False,excalidraw,0.6666666666666666,2.37
noiron,1,https://github.com/noiron,User,False,4333.0,6.0,4.0,29,30,73,52,False,excalidraw,0.6666666666666666,11.87
yongjoon-km,1,https://github.com/yongjoon-km,User,False,2980.0,30.0,30.0,17,30,8,7,False,excalidraw,1.0,8.16
YouriTjang,1,https://github.com/YouriTjang,User,False,4842.0,8.0,7.0,3,15,25,0,False,excalidraw,0.875,13.27
ymeskini,1,https://github.com/ymeskini,User,False,2777.0,17.0,14.0,12,12,8,0,False,excalidraw,0.8235294117647058,7.61
yubinTW,1,https://github.com/yubinTW,User,False,2725.0,0.0,0.0,0,30,43,26,False,excalidraw,0.0,7.47
Yuvashkenazi,1,https://github.com/Yuvashkenazi,User,False,2353.0,0.0,0.0,0,4,2,0,False,excalidraw,0.0,6.45
haikyuu,1,https://github.com/haikyuu,User,False,3827.0,0.0,0.0,0,30,117,5,False,excalidraw,0.0,10.48
anishagg17,1,https://github.com/anishagg17,User,False,2335.0,0.0,0.0,0,30,61,2,False,excalidraw,0.0,6.4
ChinmayMhatre,1,https://github.com/ChinmayMhatre,User,False,2091.0,0.0,0.0,0,30,63,15,False,excalidraw,0.0,5.73
chrsep,1,https://github.com/chrsep,User,False,3835.0,0.0,0.0,0,30,29,14,False,excalidraw,0.0,10.51
christianalfoni,1,https://github.com/christianalfoni,User,False,4347.0,0.0,0.0,0,30,951,54,False,excalidraw,0.0,11.91
christophepas,1,https://github.com/christophepas,User,False,4014.0,0.0,0.0,0,9,10,2,False,excalidraw,0.0,11.0
johnrazeur,1,https://github.com/johnrazeur,User,False,4779.0,0.0,0.0,0,30,18,29,False,excalidraw,0.0,13.09
Contextualist,1,https://github.com/Contextualist,User,False,3373.0,0.0,0.0,0,30,14,353,False,excalidraw,0.0,9.24
CoyoteWaltz,1,https://github.com/CoyoteWaltz,User,False,2219.0,30.0,30.0,7,14,16,11,False,excalidraw,1.0,6.08
dantehemerson,1,https://github.com/dantehemerson,User,False,3234.0,30.0,30.0,30,30,107,83,False,excalidraw,1.0,8.86
DejavuMoe,1,https://github.com/DejavuMoe,User,False,1937.0,29.0,26.0,26,30,88,91,False,excalidraw,0.896551724137931,5.31
mishankov,1,https://github.com/mishankov,User,False,2868.0,30.0,30.0,30,30,25,25,False,excalidraw,1.0,7.86
denisgolius,1,https://github.com/denisgolius,User,False,4148.0,30.0,30.0,30,30,64,0,False,excalidraw,1.0,11.36
Dreace,1,https://github.com/Dreace,User,False,2669.0,11.0,7.0,5,30,63,101,False,excalidraw,0.6363636363636364,7.31
dvir,1,https://github.com/dvir,User,False,5115.0,5.0,3.0,30,12,7,7,False,excalidraw,0.6,14.01
emmanuel-ferdman,1,https://github.com/emmanuel-ferdman,User,False,2589.0,30.0,30.0,10,21,43,15,False,excalidraw,1.0,7.09
stbneb,1,https://github.com/stbneb,User,False,2920.0,10.0,10.0,5,4,6,0,False,excalidraw,1.0,8.0
es-romo,1,https://github.com/es-romo,User,False,3579.0,7.0,5.0,2,18,13,3,False,excalidraw,0.7142857142857143,9.81
EternalWill43,1,https://github.com/EternalWill43,User,False,1639.0,0.0,0.0,0,30,2,0,False,excalidraw,0.0,4.49
fabien0102,1,https://github.com/fabien0102,User,False,4654.0,0.0,0.0,0,30,136,434,False,excalidraw,0.0,12.75
fsefidabi,1,https://github.com/fsefidabi,User,False,1614.0,0.0,0.0,0,24,17,7,False,excalidraw,0.0,4.42
1fbr,1,https://github.com/1fbr,User,False,1764.0,0.0,0.0,0,8,1,0,False,excalidraw,0.0,4.83
FilBot3,1,https://github.com/FilBot3,User,False,4448.0,0.0,0.0,0,30,25,16,False,excalidraw,0.0,12.19
fdemir,1,https://github.com/fdemir,User,False,2174.0,0.0,0.0,0,30,159,24,False,excalidraw,0.0,5.96
GabiRepare,1,https://github.com/GabiRepare,User,False,3638.0,0.0,0.0,0,11,3,0,False,excalidraw,0.0,9.97
jeremyscatigna,1,https://github.com/jeremyscatigna,User,False,3387.0,0.0,0.0,0,30,18,6,False,excalidraw,0.0,9.28
aashirisrar,1,https://github.com/aashirisrar,User,False,1767.0,0.0,0.0,0,30,5,4,False,excalidraw,0.0,4.84
