login,contributions,url,type,site_admin,account_age_(days),total_prs_submitted,total_prs_merged,total_issues_opened,total_repositories_contributed_to,followers,stars_received,is_member_of_organization,source_project,approval_rate,contributor_seniority
clydin,106,https://github.com/clydin,User,False,3188.0,30.0,30.0,22,26,179,5,False,Angular,1.0,8.73
kyliau,104,https://github.com/kyliau,User,False,4460.0,0.0,0.0,0,30,169,6,False,Angular,0.0,12.22
sumitarora,101,https://github.com/sumitarora,User,False,5489.0,0.0,0.0,0,30,120,16,False,Angular,0.0,15.04
pmvald,94,https://github.com/pmvald,User,False,2731.0,0.0,0.0,0,4,18,1,False,Angular,0.0,7.48
kormide,93,https://github.com/kormide,User,False,4244.0,0.0,0.0,0,25,13,9,False,Angular,0.0,11.63
ayazhafiz,92,https://github.com/ayazhafiz,User,False,3123.0,0.0,0.0,0,30,175,13,False,Angular,0.0,8.56
bampakoa,88,https://github.com/bampakoa,User,False,3971.0,0.0,0.0,0,10,210,204,False,Angular,0.0,10.88
Foxandxss,85,https://github.com/Foxandxss,User,False,4890.0,0.0,0.0,0,30,759,1351,False,Angular,0.0,13.4
vikerman,80,https://github.com/vikerman,User,False,5756.0,0.0,0.0,0,30,203,187,False,Angular,0.0,15.77
juliemr,79,https://github.com/juliemr,User,False,4581.0,0.0,0.0,0,30,2702,70,False,Angular,0.0,12.55
robwormald,75,https://github.com/robwormald,User,False,5169.0,0.0,0.0,0,30,1517,171,False,Angular,0.0,14.16
ajitsinghkaler,74,https://github.com/ajitsinghkaler,User,False,2470.0,0.0,0.0,0,30,35,44,False,Angular,0.0,6.77
PatrickJS,73,https://github.com/PatrickJS,User,False,4918.0,0.0,0.0,0,30,2971,24,False,Angular,0.0,13.47
trekladyone,61,https://github.com/trekladyone,User,False,1277.0,0.0,0.0,0,1,1,0,False,Angular,0.0,3.5
DzmitryShylovich,52,https://github.com/DzmitryShylovich,User,False,3771.0,0.0,0.0,0,3,202,2,False,Angular,0.0,10.33
josmar-crwdstffng,47,https://github.com/josmar-crwdstffng,User,False,1307.0,0.0,0.0,0,2,1,0,False,Angular,0.0,3.58
ivanwonder,45,https://github.com/ivanwonder,User,False,3384.0,0.0,0.0,0,18,24,3,False,Angular,0.0,9.27
trotyl,45,https://github.com/trotyl,User,False,4098.0,0.0,0.0,0,30,406,67,False,Angular,0.0,11.23
bencodezen,44,https://github.com/bencodezen,User,False,4253.0,0.0,0.0,0,30,2142,291,False,Angular,0.0,11.65
