pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
25990,95,0,413,18,1.8,closed,False,False
25989,1,1,1,0,0.0,closed,False,False
25988,0,0,24,0,0.0,closed,False,False
25987,1,1,1,0,0.0,closed,False,False
25986,1,0,0,0,0.0,closed,False,False
25985,0,0,10,0,0.0,closed,False,False
25984,1,0,2,0,0.0,closed,False,False
25983,2,0,0,0,0.0,closed,True,True
25982,1,0,6,0,0.0,closed,True,True
25981,1,0,4,0,0.0,closed,False,False
25980,1,0,1,1,0.5,closed,True,True
25979,1,0,0,1,0.3333333333333333,closed,True,True
25978,2,0,6,0,0.0,closed,True,True
25976,0,0,0,0,0.0,closed,False,False
25975,1,0,3,0,0.0,closed,True,True
25974,1,1,0,0,0.0,closed,True,True
25973,1,0,0,0,0.0,closed,True,True
25972,3,0,0,0,0.0,closed,False,False
25971,0,0,11,0,0.0,closed,False,False
25969,1,0,0,0,0.0,closed,False,False
25968,1,0,1,0,0.0,closed,True,True
25967,1,1,77,0,0.0,closed,False,False
25966,2,0,0,0,0.0,closed,False,False
25965,8,8,0,0,0.0,closed,True,True
25964,2,1,0,0,0.0,closed,True,True
25963,2,2,20,0,0.0,closed,False,False
25962,1,1,3,0,0.0,closed,False,False
25960,1,1,17,0,0.0,closed,False,False
25959,2,0,33,0,0.0,closed,False,False
25958,0,1,58,0,0.0,closed,False,False
25957,2,1,0,0,0.0,closed,False,False
25956,3,2,0,0,0.0,closed,False,False
25955,1,0,0,0,0.0,closed,False,False
25954,1,0,1,0,0.0,closed,False,False
25953,1,0,0,0,0.0,closed,False,False
25952,0,0,1,0,0.0,closed,False,False
25951,1,0,0,0,0.0,closed,False,False
25950,1,0,4,0,0.0,closed,True,True
25949,1,0,2,0,0.0,closed,False,False
25948,1,0,0,0,0.0,closed,False,False
25947,30,2,0,0,0.0,closed,False,False
25946,1,0,0,0,0.0,closed,True,True
25945,1,0,0,0,0.0,closed,False,False
25944,1,0,0,0,0.0,closed,False,False
25943,1,0,7,0,0.0,closed,False,False
25942,5,5,2,0,0.0,closed,True,True
25941,3,0,2,0,0.0,closed,False,False
25940,1,1,276,0,0.0,closed,False,False
25939,0,0,0,0,0.0,closed,False,False
25938,1,0,1,0,0.0,closed,True,True
