Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
MaxKam,2,https://github.com/MaxKam,User,False,3483,30,29,6,23,5,0,False
JoseDeFreitas,2,https://github.com/JoseDeFreitas,User,False,2514,30,30,19,10,247,6346,False
melongbob,1,https://github.com/melongbob,User,False,2878,25,18,10,30,5,3,False
wiirios,1,https://github.com/wiirios,User,False,649,3,2,2,20,13,4,False
ghwrivas,1,https://github.com/ghwrivas,User,False,4407,12,12,10,28,7,1,False
We1Y1Chen,1,https://github.com/We1Y1Chen,User,False,1717,2,1,0,3,6,2,False
VFedyk,1,https://github.com/VFedyk,User,False,5202,30,24,7,30,52,4,False
sprytnyk,1,https://github.com/sprytnyk,User,False,3320,27,20,4,28,19,151,False
liaten,1,https://github.com/liaten,User,False,2588,16,13,18,28,9,2,False
tarunj-sc,1,https://github.com/tarunj-sc,User,False,466,0,0,0,0,0,0,False
gotswoop,1,https://github.com/gotswoop,User,False,3948,2,1,0,7,5,0,False
iamnafets,1,https://github.com/iamnafets,User,False,5730,27,18,29,30,19,17,False
yuta-kawai,1,https://github.com/yuta-kawai,User,False,3152,0,0,0,6,0,0,False
Zain-Bin-Arshad,1,https://github.com/Zain-Bin-Arshad,User,False,2131,5,4,8,15,8,91,False
ziishaned,1,https://github.com/ziishaned,User,False,3354,30,30,30,30,1115,3875,False
ajoneshs,1,https://github.com/ajoneshs,User,False,2700,1,1,0,7,1,0,False
alamart,1,https://github.com/alamart,User,False,4720,0,0,0,30,4,3,False
Amanjakhetiya,1,https://github.com/Amanjakhetiya,User,False,2371,0,0,0,30,11,3,False
amansingh1999,1,https://github.com/amansingh1999,User,False,2448,2,2,1,17,0,0,False
anmolp476,1,https://github.com/anmolp476,User,False,1098,30,30,4,27,11,1,False
arora-aditya,1,https://github.com/arora-aditya,User,False,3658,30,30,14,30,274,66,False
awalrujaa,1,https://github.com/awalrujaa,User,False,1570,30,10,0,13,37,1,False
bronzdoc,1,https://github.com/bronzdoc,User,False,4277,30,30,30,30,86,0,False
Prasanthpadp,1,https://github.com/Prasanthpadp,User,False,1504,30,14,0,30,2,3,False
bharose,1,https://github.com/bharose,User,False,294,0,0,0,2,0,0,False
ramazansakin,1,https://github.com/ramazansakin,User,False,3735,30,30,30,30,2416,76,False
vadoff,1,https://github.com/vadoff,User,False,5046,8,5,1,15,5,3,False
renanreismartins,1,https://github.com/renanreismartins,User,False,5059,16,11,4,30,39,6,False
Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
jwasham,877,https://github.com/jwasham,User,False,4367,9,8,11,30,24151,326116,False
Anri-Lombard,165,https://github.com/Anri-Lombard,User,False,1508,30,30,30,30,336,97,False
avizmarlon,76,https://github.com/avizmarlon,User,False,2997,9,9,27,20,334,33,False
esaucedof,75,https://github.com/esaucedof,User,False,3497,30,14,5,30,108,3,False
aleen42,53,https://github.com/aleen42,User,False,3756,30,30,30,30,390,467,False
Ilyushin,48,https://github.com/Ilyushin,User,False,4286,16,15,30,30,114,0,False
dossorio,30,https://github.com/dossorio,User,False,4256,16,14,30,21,10,5,False
tsakishii,30,https://github.com/tsakishii,User,False,2364,26,22,5,25,38,5,False
hexatester,27,https://github.com/hexatester,User,False,2424,30,30,24,30,69,83,False
letientai299,27,https://github.com/letientai299,User,True,3846,30,24,30,30,140,205,False
DimoDimchev,26,https://github.com/DimoDimchev,User,False,2509,14,13,19,20,28,15,False
marcomarrelli,23,https://github.com/marcomarrelli,User,False,1517,3,3,3,7,18,8,False
vsay01,22,https://github.com/vsay01,User,False,4037,23,18,30,30,46,183,False
