PR ID,PR Author,Title,State,Created At,Merged At,Closed At,Labels,Base Branch,Head Branch,Files Changed,Lines Added,Lines Deleted,Commits,Comments,Review Comments,Reviewers,Review States,Draft Status,Linked Issues,Repository ID,"Repository Size (Stars, Forks, Contributors, Commits)","Repository Activity (Commits, PRs, Issues)","Project Phase (Before Major Release, After Major Release, Active Phase)"
1972536556,SaraviaMartin,Marcado con X,closed,2024-07-17T00:03:44Z,,2024-07-17T00:04:01Z,,main,progress,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1970059950,lethanhdat04,Progress,closed,2024-07-15T19:14:47Z,,2024-07-15T19:15:17Z,,main,progress,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1951563057,lethanhdat04,Progress,closed,2024-07-03T12:48:22Z,,2024-07-03T16:05:18Z,,main,progress,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1936048662,lucaaramos,check,closed,2024-06-24T17:57:30Z,,2024-06-24T17:58:37Z,,main,progress,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1929877986,zerone0x,Add Binary Heaps MIT into Heap Part,closed,2024-06-20T06:24:21Z,2024-06-21T15:28:29Z,2024-06-21T15:28:29Z,,main,main,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1923321783,Paras-96,Added one useful resource,closed,2024-06-17T04:16:27Z,,2024-06-18T03:09:44Z,,main,patch-1,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1917645151,RonnyPacheco,Day 1: Asymptotic Notation,closed,2024-06-13T01:33:56Z,,2024-06-13T01:34:20Z,,main,First_day,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1915753015,RonnyPacheco,"Typo on ""translations""",closed,2024-06-12T05:37:18Z,2024-06-12T15:59:27Z,2024-06-12T15:59:27Z,,main,main,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1915494144,kcw00,Update README.md,closed,2024-06-12T01:08:13Z,,2024-06-12T01:22:52Z,,main,kcw00-patch-1,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1910929341,nongrata081,update ukrainian translation up to ## Final Review,closed,2024-06-09T19:40:17Z,2024-06-09T21:21:37Z,2024-06-09T21:21:37Z,,main,main,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1910465665,costasp11,Rename README.md to README,closed,2024-06-08T22:08:15Z,,2024-06-09T03:10:01Z,,main,patch-1,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1910346103,nongrata081,update ukrainian translation up to ### Combinatorics & Probability,closed,2024-06-08T17:03:28Z,2024-06-09T03:10:39Z,2024-06-09T03:10:39Z,,main,main,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1909789694,nongrata081,update ukrainian translation up to ## Graphs,closed,2024-06-07T19:59:58Z,2024-06-08T16:16:52Z,2024-06-08T16:16:52Z,,main,main,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1906902915,nongrata081,add ukrainian translation,closed,2024-06-06T10:03:24Z,2024-06-07T02:59:19Z,2024-06-07T02:59:19Z,,main,main,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1903382150,sudh-balaji,Update README.md,closed,2024-06-04T16:45:29Z,,2024-06-04T16:45:37Z,,main,patch-1,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1878536434,hchuzhong,Hcz,closed,2024-05-20T14:53:14Z,,2024-05-20T14:53:44Z,,main,hcz,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1877799094,nvimah,Marked personal progress,closed,2024-05-20T07:52:31Z,,2024-05-20T07:53:30Z,,main,main,,,,,,,,,False,,60493101,"311974, 77950, None, None"
1876558825,Somaticbeing84,Create SECURITY.md BEST,closed,2024-05-18T05:23:40Z,,2024-05-18T21:35:46Z,,main,patch-1,,,,,,,,,False,,60493101,"311974, 77950, None, None"
