pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
5748,24,4,8,0,0.0,closed,False,False
5744,38,25,5,2,1.0,closed,True,True
5742,81,60,3,7,1.75,closed,True,True
5741,7,7,4,0,0.0,open,False,False
5740,2,2,2,0,0.0,closed,False,False
5738,646,0,1,0,0.0,open,False,False
5737,1,2,3,0,0.0,closed,True,True
5734,646,0,1,0,0.0,closed,False,False
5733,172,0,2,0,0.0,closed,False,False
5731,1,1,3,0,0.0,closed,False,False
5728,331,291,4,9,1.2857142857142858,closed,True,True
5724,40,0,6,19,2.111111111111111,closed,True,True
5722,1,1,2,0,0.0,closed,False,False
5719,36,50,1,0,0.0,closed,True,True
5718,76,27,3,5,2.5,closed,False,False
5717,4,2,4,0,0.0,closed,True,True
5716,10,1,1,0,0.0,closed,True,True
5715,185,185,4,0,0.0,closed,True,True
5713,12,12,10,0,0.0,open,False,False
5712,204,450,0,0,0.0,closed,True,True
5711,4,4,0,0,0.0,closed,False,False
5696,788,170,6,0,0.0,closed,True,True
5695,561,561,1,0,0.0,closed,False,False
5685,1,0,3,0,0.0,closed,False,False
5680,1,1,2,0,0.0,closed,False,False
5676,18,18,1,0,0.0,closed,True,True
5675,6,6,3,0,0.0,closed,True,True
5674,1,1,2,0,0.0,closed,False,False
5673,601,0,3,0,0.0,closed,True,True
5672,601,0,2,0,0.0,closed,False,False
5668,985,643,3,0,0.0,closed,False,False
5666,18,12,2,3,0.05172413793103448,closed,True,True
5661,1,0,5,0,0.0,closed,True,True
5659,26,0,2,0,0.0,closed,False,False
5654,451,4,1,0,0.0,open,False,False
5647,32,1,2,0,0.0,closed,True,True
5641,2,2,2,0,0.0,closed,True,True
5638,13,1,2,0,0.0,closed,False,False
5637,15,1,2,0,0.0,closed,True,True
5634,1,1,2,0,0.0,closed,True,True
5632,2,2,3,0,0.0,closed,False,False
5628,104,58,4,1,1.0,open,False,False
5627,94,94,1,0,0.0,closed,False,False
5626,67,0,0,0,0.0,closed,False,False
5624,137,133,4,0,0.0,closed,False,False
5616,118,117,13,0,0.0,open,False,False
5615,116,44,2,0,0.0,closed,False,False
5614,107,0,2,1,0.16666666666666666,closed,True,True
5611,3,3,5,0,0.0,closed,True,True
5610,1,1,3,0,0.0,closed,False,False
5609,10,10,10,0,0.0,closed,True,True
5607,9,15,3,0,0.0,closed,False,False
5606,1,1,1,0,0.0,closed,True,True
5604,2506,315,1,0,0.0,closed,True,True
5601,35,12,7,0,0.0,closed,True,True
5599,146,3,3,0,0.0,closed,False,False
5598,67,0,3,0,0.0,closed,False,False
5597,46,3,4,0,0.0,closed,False,False
5595,33,1,4,0,0.0,closed,True,True
5592,153,18,5,0,0.0,closed,False,False
5581,22,19,3,3,3.0,closed,False,False
5580,26,4,6,0,0.0,closed,True,True
5579,5,2,1,0,0.0,closed,True,True
5575,29,14,4,0,0.0,closed,False,False
5574,49,2,2,0,0.0,closed,True,True
5573,7,6,4,3,1.5,closed,False,False
5570,549,0,6,0,0.0,closed,False,False
5568,36,0,2,1,0.5,closed,False,False
5566,39,1,1,0,0.0,closed,True,True
5561,7,7,2,2,1.0,closed,True,True
5557,23,23,7,0,0.0,closed,False,False
5556,114,189,2,0,0.0,closed,True,True
