Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
shufflecode,3,https://github.com/shufflecode,User,False,3361,0,0,0,29,5,3,False
ebbyd3,2,https://github.com/ebbyd3,User,False,1973,0,0,0,1,1,0,False
CoreyHayward,2,https://github.com/CoreyHayward,User,False,1600,0,0,0,11,10,300,False
char-46,2,https://github.com/char-46,User,False,2038,11,7,30,22,10,4,False
Sytta,2,https://github.com/Sytta,User,False,3448,7,5,2,30,7,2,False
schulz3000,2,https://github.com/schulz3000,User,False,4641,30,30,29,30,16,42,False
kubalav,2,https://github.com/kubalav,User,False,2530,30,30,30,19,19,1,False
IHorvalds,2,https://github.com/IHorvalds,User,False,3065,18,18,13,30,19,26,False
tomer,2,https://github.com/tomer,User,False,5862,30,30,30,30,35,9,False
Tantalus13A98B5F,2,https://github.com/Tantalus13A98B5F,User,False,3467,26,24,22,15,22,19,False
skttl,2,https://github.com/skttl,User,False,4371,30,30,30,30,49,19,False
Sirozha1337,2,https://github.com/Sirozha1337,User,False,3410,13,12,30,17,3,34,False
harvastum,2,https://github.com/harvastum,User,False,3080,10,5,17,11,2,0,False
kerams,2,https://github.com/kerams,User,False,4227,0,0,0,30,28,92,False
niwatolli3,2,https://github.com/niwatolli3,User,False,3550,0,0,0,9,7,1,False
pea-sys,2,https://github.com/pea-sys,User,False,2129,0,0,0,30,2,4,False
vankasteelj,2,https://github.com/vankasteelj,User,False,3555,0,0,0,30,110,285,False
zhiyue,2,https://github.com/zhiyue,User,False,4320,0,0,0,23,98,4,False
allanpk716,2,https://github.com/allanpk716,User,False,4851,0,0,0,30,92,145,False
infinitepower18,2,https://github.com/infinitepower18,User,False,2298,0,0,0,17,84,680,False
Evyatar-E,2,https://github.com/Evyatar-E,User,False,1463,0,0,0,3,0,6,False
fredso90,2,https://github.com/fredso90,User,False,1118,2,2,0,3,1,0,False
johnterickson,2,https://github.com/johnterickson,User,True,3689,30,30,30,30,26,63,False
asif4318,2,https://github.com/asif4318,User,False,1501,30,27,3,30,1,4,False
sredna,2,https://github.com/sredna,User,False,5577,30,29,18,30,22,16,False
azchohfi,2,https://github.com/azchohfi,User,False,5175,30,30,30,30,325,22,False
Agnibaan,2,https://github.com/Agnibaan,User,False,726,7,3,7,7,2,0,False
Boelensman1,2,https://github.com/Boelensman1,User,False,4779,30,30,9,30,3,6,False
chrisharris333,2,https://github.com/chrisharris333,User,False,1834,9,5,2,6,3,2,False
ckirby19,2,https://github.com/ckirby19,User,False,1692,30,30,3,27,8,7,False
spidersouris,2,https://github.com/spidersouris,User,False,3977,0,0,0,30,17,1,False
garv5014,2,https://github.com/garv5014,User,False,1636,0,0,0,19,4,0,False
hminaya,2,https://github.com/hminaya,User,False,5134,0,0,0,30,115,23,False
JacobDeuchert,2,https://github.com/JacobDeuchert,User,False,2338,0,0,0,17,8,0,False
Kissaki,2,https://github.com/Kissaki,User,False,5732,0,0,0,30,50,2,False
jyuwono,2,https://github.com/jyuwono,User,True,3848,0,0,0,5,5,68,False
Jvr2022,2,https://github.com/Jvr2022,User,False,952,0,0,0,30,19,8,False
KhurramJalil,2,https://github.com/KhurramJalil,User,False,867,0,0,0,14,1,0,False
waaverecords,2,https://github.com/waaverecords,User,False,2163,5,4,6,14,15,226,False
OldUser101,2,https://github.com/OldUser101,User,False,1762,6,3,8,19,0,1,False
sqrlmn,2,https://github.com/sqrlmn,User,False,2705,30,25,3,3,1,2,False
quyenvsp,2,https://github.com/quyenvsp,User,False,2593,16,7,16,24,4,1,False
