Contributor ID,Contributor Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
ANB5Dev,1258,2,1,3,3,0,0,False
RijckAlex,161,13,12,0,7,0,0,False
JohnFowler58,148,14,8,0,6,0,0,False
xlionjuan,2950,30,30,30,30,9,0,False
bovirus,4814,30,30,30,30,89,6,False
solokot,2946,30,30,25,26,74,5,False
elseif,5410,5,2,17,4,135,1077,False
zylthinking,4898,7,2,30,30,2,4,False
fufesou,3489,30,30,30,30,86,1,False
