pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
6503,90,1,7,0,0.0,closed,False,False
6502,20,4,0,0,0.0,closed,False,False
6501,22,22,1,1,0.3333333333333333,closed,True,True
6500,103,587,2,6,0.75,closed,True,True
6499,8,100,0,0,0.0,closed,True,True
6498,947,981,2,0,0.0,closed,True,True
6497,3,3,1,0,0.0,closed,True,True
6495,15,1,13,0,0.0,closed,False,False
6494,46,39,1,0,0.0,closed,True,True
6492,8,1,1,0,0.0,closed,False,False
6491,1,1,0,0,0.0,closed,False,False
6489,1,1,0,0,0.0,closed,True,True
6488,81,57,1,0,0.0,closed,False,False
6487,0,2,2,0,0.0,closed,True,True
6486,4,4,6,0,0.0,closed,False,False
6485,184,109,3,0,0.0,closed,False,False
6484,36,2,3,1,0.5,closed,True,True
6480,215,117,15,4,0.5714285714285714,closed,False,False
6477,3,1,2,0,0.0,closed,False,False
6475,0,6,1,0,0.0,closed,True,True
6474,47,20,4,0,0.0,closed,False,False
6473,26,34,0,0,0.0,open,False,False
6472,1011,1307,4,13,0.5909090909090909,closed,True,True
6471,4,4,5,0,0.0,closed,False,False
6470,15,7,5,0,0.0,closed,True,True
6469,104,2,1,5,1.0,closed,True,True
6467,1,1,0,0,0.0,closed,True,True
6464,4,4,2,0,0.0,closed,False,False
6463,1,3,3,2,0.6666666666666666,closed,True,True
6462,5,5,1,0,0.0,closed,True,True
6461,46,1,4,0,0.0,open,False,False
6460,11,10,1,1,1.0,closed,True,True
6457,305,8,0,0,0.0,open,False,False
6455,55,56,1,0,0.0,closed,False,False
6449,11,11,1,4,0.2857142857142857,closed,True,True
6448,2,2,0,2,0.6666666666666666,closed,True,True
6445,2,2,0,0,0.0,closed,False,False
6444,3,3,3,1,0.5,closed,True,True
6441,6,1,5,0,0.0,closed,False,False
6440,26,27,2,4,0.4444444444444444,closed,True,True
6438,53,6,2,0,0.0,open,False,False
6435,23,23,0,0,0.0,closed,True,True
6434,90,3,3,5,0.5555555555555556,closed,True,True
6432,7,23,0,1,1.0,closed,True,True
6431,9,9,3,13,2.1666666666666665,closed,False,False
6430,1014,53,7,7,0.2916666666666667,open,False,False
6429,10,15,3,0,0.0,closed,True,True
6428,142,16,0,4,2.0,open,False,False
6427,29,39,1,3,1.0,closed,True,True
6424,8,1,0,3,3.0,closed,False,False
6423,17,22,0,3,0.75,closed,False,False
6422,55,43,1,0,0.0,closed,True,True
6420,408,51,1,0,0.0,closed,False,False
6419,184,108,0,0,0.0,closed,False,False
6417,109,24,7,13,0.8125,closed,True,True
6416,1,1,1,0,0.0,closed,True,True
6415,0,7,0,0,0.0,closed,True,True
6414,190,128,1,0,0.0,closed,True,True
6413,562,300,2,1,0.5,closed,True,True
6411,4,4,1,0,0.0,closed,True,True
6406,102,40,0,5,0.8333333333333334,closed,True,True
6404,30,6,0,4,1.3333333333333333,closed,False,False
