Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
NoExitTV,4,https://github.com/NoExitTV,User,False,3783,30,30,8,6,18,11,False
olafdietsche,4,https://github.com/olafdietsche,User,False,4259,12,9,23,30,2,4,False
akhterwahab,4,https://github.com/akhterwahab,User,False,4814,1,1,1,30,25,1,False
protokoul,4,https://github.com/protokoul,User,False,4012,20,14,7,30,1,0,False
persiyanov,4,https://github.com/persiyanov,User,False,4343,26,16,9,30,36,88,False
kumar-sanchay,4,https://github.com/kumar-sanchay,User,False,2074,7,4,0,23,1,5,False
oscard0m,4,https://github.com/oscard0m,User,False,4506,30,30,30,30,106,36,False
willbeaufoy,3,https://github.com/willbeaufoy,User,False,5075,26,18,30,30,4,36,False
joaquingx,3,https://github.com/joaquingx,User,False,3929,30,30,23,30,18,3,False
sbs2001,3,https://github.com/sbs2001,User,False,2823,30,30,30,30,47,5,False
maanijou,3,https://github.com/maanijou,User,False,3171,30,30,1,24,11,13,False
reidemeister94,3,https://github.com/reidemeister94,User,False,2829,3,3,0,16,10,59,False
namelessGonbai,3,https://github.com/namelessGonbai,User,False,2329,4,4,3,4,0,0,False
bagratte,3,https://github.com/bagratte,User,False,3629,30,26,21,11,3,0,False
azzamsa,3,https://github.com/azzamsa,User,False,3267,30,30,30,30,142,996,False
arijitchakraborty,3,https://github.com/arijitchakraborty,User,False,5330,7,4,1,15,13,1,False
aisha-partha,3,https://github.com/aisha-partha,User,False,437,5,4,0,25,1,0,False
serhii73,3,https://github.com/serhii73,User,False,2965,30,30,30,30,66,27,False
otherchirps,3,https://github.com/otherchirps,User,False,5281,17,13,9,30,12,6,False
ngash,3,https://github.com/ngash,User,False,4038,30,30,4,20,13,3,False
y26805,3,https://github.com/y26805,User,False,3412,12,8,14,16,5,17,False
lena-kuhn,3,https://github.com/lena-kuhn,User,False,2624,30,26,30,1,15,0,False
elramen,3,https://github.com/elramen,User,False,380,0,0,0,2,0,0,False
bblanchon,3,https://github.com/bblanchon,User,False,4172,30,30,30,30,575,7426,False
aron-bordin,3,https://github.com/aron-bordin,User,False,4242,30,30,30,18,432,504,False
armujahid,3,https://github.com/armujahid,User,False,4371,30,30,30,30,243,33,False
petervandenabeele,3,https://github.com/petervandenabeele,User,False,5842,30,30,30,30,48,18,False
otobrglez,3,https://github.com/otobrglez,User,False,5448,30,30,30,30,253,144,False
kshitijcode,3,https://github.com/kshitijcode,User,False,3384,30,30,27,30,3,60,False
kevintomsgithub,3,https://github.com/kevintomsgithub,User,False,2929,3,1,0,30,9,4,False
azenkwed,3,https://github.com/azenkwed,User,False,3942,9,4,2,2,6,0,False
josericardo,3,https://github.com/josericardo,User,False,4691,30,30,21,30,19,3,False
llonchj,3,https://github.com/llonchj,User,False,5309,30,30,30,30,36,15,False
Jane222,3,https://github.com/Jane222,User,False,3721,1,1,0,2,0,0,False
Nirzak,2,https://github.com/Nirzak,User,False,3628,30,30,30,30,138,57,False
mineo,2,https://github.com/mineo,User,False,5774,30,30,30,30,33,4,False
Ordepsousa,2,https://github.com/Ordepsousa,User,False,4087,1,1,1,8,2,0,False
qhuang872,2,https://github.com/qhuang872,User,False,3199,8,6,0,15,13,1,False
weldon0405,2,https://github.com/weldon0405,User,False,3018,28,20,2,30,1,1,False
