Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
iacopy,2,https://github.com/iacopy,User,False,4257,0,0,0,8,6,14,False
gruns,2,https://github.com/gruns,User,False,4908,0,0,0,30,395,2666,False
filinpavel,2,https://github.com/filinpavel,User,False,4491,30,30,1,17,66,23,False
ctolib,2,https://github.com/ctolib,User,False,3190,14,7,10,30,274,12,False
conder13,2,https://github.com/conder13,User,False,1300,2,1,0,12,6,2,False
yanchick,2,https://github.com/yanchick,User,False,4294,9,2,8,30,44,20,False
ouiliame,2,https://github.com/ouiliame,User,False,4931,30,30,9,30,154,17,False
widnyana,2,https://github.com/widnyana,User,False,4955,0,0,0,30,165,61,False
VaishnaviMudaliar,2,https://github.com/VaishnaviMudaliar,User,False,1670,0,0,0,30,22,5,False
yomguy,2,https://github.com/yomguy,User,False,5613,0,0,0,30,112,152,False
grantjenks,2,https://github.com/grantjenks,User,False,5657,30,30,30,30,568,4059,False
orsinium,2,https://github.com/orsinium,User,False,3752,30,30,30,8,328,87,False
geonu,2,https://github.com/geonu,User,False,4340,30,30,6,30,75,0,False
filipefilardi,2,https://github.com/filipefilardi,User,False,3960,30,30,10,30,66,39,False
neuman,2,https://github.com/neuman,User,False,4985,19,18,28,30,46,105,False
emijrp,2,https://github.com/emijrp,User,False,5253,0,0,0,30,127,3084,False
dvro,2,https://github.com/dvro,User,False,5186,0,0,0,19,75,41,False
DavidJFelix,2,https://github.com/DavidJFelix,User,False,5403,0,0,0,14,120,17,False
dbader,2,https://github.com/dbader,User,False,5359,0,0,0,30,3409,556,False
effigies,2,https://github.com/effigies,User,False,5760,30,30,30,30,221,152,False
rochacbruno,2,https://github.com/rochacbruno,User,False,5225,30,30,30,30,4439,66,False
norweeg,2,https://github.com/norweeg,User,False,4108,27,10,30,26,14,287,False
Ayrx,2,https://github.com/Ayrx,User,False,4607,30,30,30,30,220,263,False
attila0x2A,2,https://github.com/attila0x2A,User,False,4346,30,28,30,29,20,5,False
abhi18av,2,https://github.com/abhi18av,User,False,3541,0,0,0,30,245,25,False
R055A,2,https://github.com/R055A,User,False,3422,0,0,0,4,0,26,False
Atharva1723,2,https://github.com/Atharva1723,User,False,1318,0,0,0,30,26,0,False
akash0x53,2,https://github.com/akash0x53,User,False,4606,30,30,9,30,74,2,False
alanhamlett,2,https://github.com/alanhamlett,User,False,5179,30,30,30,30,5086,120,False
markusschanta,2,https://github.com/markusschanta,User,False,5409,30,30,21,28,103,4211,False
mfin,2,https://github.com/mfin,User,False,5144,29,28,14,11,23,109,False
mgill25,2,https://github.com/mgill25,User,False,4789,18,14,0,30,103,18,False
onemouth,2,https://github.com/onemouth,User,False,4762,0,0,0,20,29,27,False
shvechikov,2,https://github.com/shvechikov,User,False,6103,0,0,0,30,37,4,False
mjhea0,2,https://github.com/mjhea0,User,False,4593,0,0,0,30,2809,10888,False
leotada,2,https://github.com/leotada,User,False,4891,27,22,30,30,100,42,False
