Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
vsaravind01,2,https://github.com/vsaravind01,User,False,1783,0,0,0,30,12,5,False
SH5H,2,https://github.com/SH5H,User,False,2939,0,0,0,12,14,12,False
saranshbarua,2,https://github.com/saranshbarua,User,False,3015,0,0,0,30,46,5,False
roxanagherle,2,https://github.com/roxanagherle,User,False,3883,0,0,0,12,11,0,False
Rafi993,2,https://github.com/Rafi993,User,False,3877,0,0,0,30,45,33,False
rubjo,2,https://github.com/rubjo,User,False,2383,0,0,30,30,97,7,False
mx2s,2,https://github.com/mx2s,User,False,3091,30,30,30,30,43,9,False
wuweiweiwu,2,https://github.com/wuweiweiwu,User,False,2595,30,30,30,30,187,17,False
lucleray,2,https://github.com/lucleray,User,False,4027,30,30,28,30,478,400,False
Nishant-l,2,https://github.com/Nishant-l,User,False,1827,2,2,1,27,4,25,False
jaiwanth-v,2,https://github.com/jaiwanth-v,User,False,1734,0,0,0,13,0,5,False
ishandeveloper,2,https://github.com/ishandeveloper,User,False,1991,30,30,30,30,764,388,False
7flash,2,https://github.com/7flash,User,False,4281,30,30,30,30,195,25,False
SavvyShah,2,https://github.com/SavvyShah,User,False,2053,30,30,9,30,18,20,False
vnsteven,2,https://github.com/vnsteven,User,False,2231,5,4,0,8,12,5,False
mabdullahadeel,2,https://github.com/mabdullahadeel,User,False,1759,30,30,0,30,45,130,False
abhikulshrestha22,2,https://github.com/abhikulshrestha22,User,False,3762,0,0,0,30,3,7,False
adilhaddaoui,2,https://github.com/adilhaddaoui,User,False,4186,0,0,0,7,18,3,False
Mingaaaaaaa,2,https://github.com/Mingaaaaaaa,User,False,1161,0,0,0,11,6,0,False
aqandrew,2,https://github.com/aqandrew,User,False,3786,0,0,0,30,30,50,False
rothardo,2,https://github.com/rothardo,User,False,1393,0,0,0,25,8,2,False
carlsverre,2,https://github.com/carlsverre,User,False,5763,0,0,0,30,178,49,False
cyan33,2,https://github.com/cyan33,User,False,3509,0,0,0,30,494,146,False
clarencechaan,2,https://github.com/clarencechaan,User,False,1656,0,0,0,30,19,3,False
alsuren,2,https://github.com/alsuren,User,False,5409,0,30,30,30,63,1,False
OrenMe,2,https://github.com/OrenMe,User,False,4173,30,30,30,16,15,0,False
nschnierer,2,https://github.com/nschnierer,User,False,4361,30,30,30,7,18,5,False
azz,2,https://github.com/azz,User,False,4795,30,30,30,30,366,34,False
keyz,2,https://github.com/keyz,User,False,4550,30,30,22,30,777,47,False
jaredpalmer,2,https://github.com/jaredpalmer,User,False,4336,30,30,30,30,9696,10908,False
JakubKoralewski,2,https://github.com/JakubKoralewski,User,False,2355,30,30,30,30,32,21,False
jai-dewani,2,https://github.com/jai-dewani,User,False,2657,30,30,30,30,217,12,False
fernandoalava,2,https://github.com/fernandoalava,User,False,4015,25,18,2,30,7,0,False
FarooqAR,2,https://github.com/FarooqAR,User,False,3891,30,30,30,30,44,3,False
edbentley,2,https://github.com/edbentley,User,False,3378,30,0,0,21,21,385,False
therealrinku,1,https://github.com/therealrinku,User,False,1506,0,0,0,25,11,45,False
robertvanhoesel,1,https://github.com/robertvanhoesel,User,False,4024,0,0,0,13,31,0,False
nosnibor89,1,https://github.com/nosnibor89,User,False,3440,0,0,0,30,10,4,False
irounik,1,https://github.com/irounik,User,False,1948,0,0,0,30,27,0,False
SahilNagpure07,1,https://github.com/SahilNagpure07,User,False,1511,0,0,0,26,0,0,False
mxstbr,1,https://github.com/mxstbr,User,False,3937,0,0,0,30,6947,133,False
Git21221,1,https://github.com/Git21221,User,False,1080,30,30,30,30,16,73,False
sakit0,1,https://github.com/sakit0,User,False,3421,30,30,22,30,92,7,False
dacitto,1,https://github.com/dacitto,User,False,3013,12,7,3,30,32,12,False
FadedBronze,1,https://github.com/FadedBronze,User,False,974,15,13,2,30,2,1,False
Simonboeuf1,1,https://github.com/Simonboeuf1,User,False,2275,3,3,2,10,4,0,False
mesaugat,1,https://github.com/mesaugat,User,False,4317,30,30,30,30,236,795,False
sbalay,1,https://github.com/sbalay,User,False,4609,30,30,30,30,40,2,False
chicoxyzzy,1,https://github.com/chicoxyzzy,User,False,4731,30,30,30,30,970,34,False
theezeb,1,https://github.com/theezeb,User,False,2083,10,5,25,27,4,0,False
sha-linimoorthy,1,https://github.com/sha-linimoorthy,User,False,951,11,4,7,30,3,12,False
shaneosullivan,1,https://github.com/shaneosullivan,User,False,5865,0,0,0,30,125,87,False
shreyjay0,1,https://github.com/shreyjay0,User,False,2389,0,0,0,30,5,2,False
caleboleary,1,https://github.com/caleboleary,User,False,3540,0,0,0,30,23,75,False
s-rd,1,https://github.com/s-rd,User,False,3288,0,0,0,25,55,6,False
mtlewis,1,https://github.com/mtlewis,User,False,5161,0,0,0,30,32,1,False
salehmdev,1,https://github.com/salehmdev,User,False,2684,0,0,0,13,3,1,False
mohammadamin16,1,https://github.com/mohammadamin16,User,False,2579,0,0,0,30,15,11,False
mritunjayz,1,https://github.com/mritunjayz,User,False,3065,0,0,0,30,54,1,False
Nainterceptor,1,https://github.com/Nainterceptor,User,False,4735,30,30,30,30,36,3,False
mikemybytes,1,https://github.com/mikemybytes,User,False,3791,11,11,20,20,49,136,False
NickFitton,1,https://github.com/NickFitton,User,False,3789,30,30,30,30,15,1,False
MehediH,1,https://github.com/MehediH,User,False,3709,30,30,30,29,331,1337,False
oliverbenns,1,https://github.com/oliverbenns,User,False,4597,28,22,30,30,39,260,False
Brikaa,1,https://github.com/Brikaa,User,False,2434,30,30,30,30,79,12,False
Patrik-Lundqvist,1,https://github.com/Patrik-Lundqvist,User,False,4205,30,30,30,6,14,3,False
ptuls,1,https://github.com/ptuls,User,False,4597,16,14,4,29,28,123,False
paul-s-yi,1,https://github.com/paul-s-yi,User,False,1321,13,12,0,9,55,2,False
pedropb,1,https://github.com/pedropb,User,False,3405,30,26,9,30,10,5,False
Pierre-Monier,1,https://github.com/Pierre-Monier,User,False,1737,0,0,0,30,16,33,False
pimotte,1,https://github.com/pimotte,User,False,4115,0,0,0,30,24,10,False
Pompette,1,https://github.com/Pompette,User,False,3925,0,0,0,16,6,1,False
agarwalprashant,1,https://github.com/agarwalprashant,User,False,3862,0,0,0,30,7,1,False
PritamSangani,1,https://github.com/PritamSangani,User,False,3046,0,0,0,10,11,2,False
rahul3v,1,https://github.com/rahul3v,User,False,2996,0,0,0,30,6,1,False
Rajni2002,1,https://github.com/Rajni2002,User,False,1402,0,0,0,30,19,16,False
richkeenan,1,https://github.com/richkeenan,User,False,4875,20,19,25,17,11,8,False
rileyschnee,1,https://github.com/rileyschnee,User,False,3082,20,19,2,19,16,1,False
subhadeep-sengupta,1,https://github.com/subhadeep-sengupta,User,False,1228,1,1,0,10,3,0,False
anumithaapollo12,1,https://github.com/anumithaapollo12,User,False,2500,2,2,0,6,6,0,False
b1sar,1,https://github.com/b1sar,User,False,3130,10,8,3,12,15,1,False
liuzhuan,1,https://github.com/liuzhuan,User,False,4324,7,4,30,30,32,15,False
YinDongFang,1,https://github.com/YinDongFang,User,False,3357,30,23,16,30,20,4,False
fennghuang,1,https://github.com/fennghuang,User,False,1281,30,30,2,24,0,1,False
halocean96,1,https://github.com/halocean96,User,False,510,5,5,2,11,1,0,False
hiharish-sh,1,https://github.com/hiharish-sh,User,False,2570,19,13,0,24,3,0,False
hugo082,1,https://github.com/hugo082,User,False,3578,0,0,0,24,14,0,False
jasonphillips,1,https://github.com/jasonphillips,User,False,4145,0,0,0,30,20,105,False
monkeywithacupcake,1,https://github.com/monkeywithacupcake,User,False,3959,0,0,0,30,143,4,False
johnd99,1,https://github.com/johnd99,User,False,1318,0,0,0,7,0,1,False
